"Code reference","Meaning","Source key (JP)","EN","RU"
"TaskCalendarRange.sevenDays","One-week Task view","週","Week","Неделя"
"TaskCalendarRange.month","One-month Task view","月","Month","Месяц"
"Navigation.flow","Navigation item for the main Flow workspace","Flow","Flow","Flow"
"FlowSession","Recorded period of focused work","集中記録","Flow","Flow"
"Flow.action","Action for starting or continuing focused work","集中","Focus","Фокус"
"Flow.count","Count of recorded focus sessions","集中回数","Flows","Сессии Flow"
"Flow.mode","Label for the focus-mode selector","集中モード","Flow Mode","Режим Flow"
"Flow.mode.picker","Picker label for the focus mode","Flowタイプ","Flow Mode","Режим Flow"
"FlowMode.sprint","Mode with 12 focused minutes and a 3-minute break","Sprint","Short","Короткий"
"FlowMode.twentyFiveFive","Mode with 25 focused minutes and a 5-minute break","Focus","Standard","Обычный"
"FlowMode.fiftyTen","Mode with 50 focused minutes and a 10-minute break","Deep","Deep","Глубокий"
"FlowMode.adaptive","Adaptive mode beginning with a short Block","オート","Auto","Авто"
"FlowPhase.idle","Flow has not been configured","未設定","Not Configured","Не настроен"
"FlowPhase.configured","Flow is configured and ready to start","準備完了","Ready","Готов"
"FlowPhase.focusing","Focused work is in progress","集中","Focus","Фокус"
"FlowPhase.paused","Flow is temporarily paused","一時停止中のFlow","Paused","На паузе"
"FlowPhase.breakTime","Break between focused Blocks is in progress","休憩","Break","Перерыв"
"FlowPhase.awaitingExtensionDecision","Waiting for the next-step decision","次を選択","Choose Next","Выберите следующий шаг"
"FlowPhase.awaitingResult","Waiting for a result or memo","結果を入力","Add Result","Добавить результат"
"FlowPhase.completed","Flow is complete","集中完了","Completed","Завершён"
"FlowBreak","Saved break inside a Flow series","休憩","Break","Перерыв"
"LongBreak","Long break after four accumulated Blocks","長休憩","Long Break","Длинный перерыв"
"BlockUnit","Canonical unit of 25 focused minutes","ブロック","Block","Блок"
"HalfBlockUnit","Half Block representing 12 focused minutes","0.5 Block","0.5 Block","0,5 блока"
"Memo","Text result saved after Flow","メモ","Note","Заметка"
"Statistics","Screen for statistics and aggregate results","統計","Statistics","Статистика"
"StatisticsMode.flow","Statistics mode for recorded focus time","集中","Focus","Фокус"
"StatisticsMode.achievement","Statistics mode for completed Tasks","タスク","Tasks","Задачи"
"Statistics.timeDistribution","Distribution of Flow time","時間配分","Time Distribution","Распределение времени"
"Statistics.byTask","Statistics grouped by Task","タスク別","By Task","По задачам"
"Statistics.byDirection","Statistics grouped by Area; the internal identifier remains Direction","方向別","By Area","По сферам"
"Statistics.flowTrend","Change in Flow duration over time","傾向","Trend","Динамика"
"Statistics.dots","Calendar-style visualization of focused work","Dots","Focus Calendar","Календарь фокуса"
"Statistics.completion","Task completion state","達成状況","Completion","Выполнение"
"Statistics.tasks","Completed-Task count label in Statistics","達成","Tasks","Задачи"
"Statistics.thisYear","Statistics period for the current year","今年","This Year","Этот год"
"Statistics.thisMonth","Statistics period for the current month","今月","This Month","Этот месяц"
"History","Screen for saved Flow and Task history","履歴","History","История"
"Timeline","Timeline of Flow and breaks for today","今日のタイムライン","Today's Timeline","Хронология за сегодня"
"Today","Current calendar day","今日","Today","Сегодня"
"AddTask","Command to create a Task","タスクを追加","Add Task","Добавить задачу"
"CompleteTask","Command to complete a Task","完了にする","Complete Task","Завершить задачу"
"ReopenTask","Command to return a Task to incomplete state","未完了に戻す","Mark Incomplete","Вернуть в незавершённые"
"Todo.hashtags","Case-insensitive Task tags stored without the hash character","ハッシュタグ","Hashtags","Хэштеги"
"TaskQuickInput.directionMissing","Unknown-Area error; the internal identifier remains Direction","方向「%@」が見つかりません","Area “%1$@” was not found","Сфера «%1$@» не найдена"
"TaskQuickInput.addAsOther","Create a Task under the system Other Area","その他として追加","Add as Other","Добавить в «Другое»"
"Settings.quickInputTips","Show the mini-language legend above the composer","クイック入力のヒントを表示","Show quick input tips","Показывать подсказки быстрого ввода"
"TaskQuickInput.shortcuts","Title for the contextual quick-input legend","ショートカットを使えます","Shortcuts available","Доступны быстрые команды"
"TaskQuickInput.removeToken","Command to remove a recognized shortcut from the composer","トークンを削除","Remove Shortcut","Удалить команду"
"TaskQuickInput.createDirection","Command to create an unknown Area from autocomplete; the internal identifier remains Direction","新しい方向を作成","Create Area","Создать сферу"
"Feedback.section","Settings section for tester and user feedback","フィードバック","Feedback","Обратная связь"
"Feedback.send","Open the public GitHub feedback form","フィードバックを送る","Send Feedback","Отправить отзыв"
"Support.coffee","Optional consumable purchase without an entitlement","コーヒーを贈る","Buy Me a Coffee","Угостить кофе"
"Support.ramen","Optional consumable purchase without an entitlement","ラーメンを贈る","Buy Me Ramen","Угостить рамэном"
